id_station,n_station,ad_station,code_insee,xlongitude,ylatitude,puiss_max,accessibilite,type_prise,n_enseigne,date_maj
FR*M13*P13003*001,ALLEINS - Avenue René Cassin,Avenue René Cassin 13980 ALLEINS,13003,5.1569112,43.704091,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13098*001,SAINT-MITRE-LES-REMPARTS - Résidence Les Remparts,Résidence Les Remparts 13920 SAINT-MITRE-LES-REMPARTS,13098,5.011772,43.453829,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*020,AIX-EN-PROVENCE - Avenue Jean Orsini - Parking De La Salle Des Fêtes De Puyricard,Avenue Jean Orsini - Parking De La Salle Des Fêtes De Puyricard 13540 AIX-EN-PROVENCE,13001,5.422441,43.580561,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*008,AIX-EN-PROVENCE - Cours Saint-Louis,Cours Saint-Louis 13090 AIX-EN-PROVENCE,13001,5.453065,43.529819,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*010,ISTRES - Gymnase Donadieu,Gymnase Donadieu 13800 ISTRES,13047,4.988791,43.507643,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13207*001,MARSEILLE-7E - 113 Avenue De La Corse,113 Avenue De La Corse 13007 MARSEILLE-7E,13207,5.356014,43.289968,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13204*004,MARSEILLE-4E - Avenue Des Chartreux,Avenue Des Chartreux 13004 MARSEILLE-4E,13204,5.400736,43.310012,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*010,ISTRES - Gymnase Donadieu,Gymnase Donadieu 13800 ISTRES,13047,4.988791,43.507643,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*017,AIX-EN-PROVENCE - Rue André Ampère (Paap),Rue André Ampère (Paap) 13080 AIX-EN-PROVENCE,13001,5.370653,43.490568,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13002*002,ALLAUCH - Avenue Jean Moulin -  Parking Fassanaro,Avenue Jean Moulin -  Parking Fassanaro 0 ALLAUCH,13002,5.488317,43.357858,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*003,AIX-EN-PROVENCE - Chemin Des Plâtrières,Chemin Des Plâtrières 13080 AIX-EN-PROVENCE,13001,5.419379,43.556706,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13213*003,MARSEILLE-13E - 61 Avenue De Saint-Just,61 Avenue De Saint-Just 0 MARSEILLE-13E,13213,5.404849,43.317055,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13213*006,MARSEILLE-13E - 101 Rue Alphonse Daudet,101 Rue Alphonse Daudet 0 MARSEILLE-13E,13213,5.409596,43.320297,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13074*001,PEYROLLES-EN-PROVENCE - Parking De L'Abreuvoir,Parking De L'Abreuvoir 0 PEYROLLES-EN-PROVENCE,13074,5.584868,43.645533,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13015*001,BOUC-BEL-AIR - Boulevard Montesquieu,Boulevard Montesquieu 13320 BOUC-BEL-AIR,13015,5.423155,43.44122,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13203*003,MARSEILLE-3E - 14 Rue Chanterac,14 Rue Chanterac 0 MARSEILLE-3E,13203,5.369957,43.312724,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*014,AIX-EN-PROVENCE - Cours Marcel Bremond,Cours Marcel Bremond 13290 AIX-EN-PROVENCE,13001,5.387851,43.50363,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13110*001,TRETS - Place De La Libération,Place De La Libération 0 TRETS,13110,5.688023,43.448682,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13054*002,MARIGNANE - Place Alderic Chave,Place Alderic Chave 13700 MARIGNANE,13054,5.213539,43.417033,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13201*002,MARSEILLE-1E - 14 Allée Léon Gambetta,14 Allée Léon Gambetta 0 MARSEILLE-1E,13201,5.38179,43.299055,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13026*001,CHATEAUNEUF-LES-MARTIGUES - Place Des Résistants,Place Des Résistants 13220 CHATEAUNEUF-LES-MARTIGUES,13026,5.162934,43.382782,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13003*001,ALLEINS - Avenue René Cassin,Avenue René Cassin 13980 ALLEINS,13003,5.1569112,43.704091,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13055*002,MARSEILLE - Parking Technoptic,Parking Technoptic 13000 MARSEILLE,13055,5.431385,43.344402,4.0,24h/24 7j/7,EF,MAMP,2021-09-04
FR*M13*P13054*003,MARIGNANE - Boulevard De La Libération,Boulevard De La Libération 0 MARIGNANE,13054,5.217351,43.418544,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13037*001,LA FARE-LES-OLIVIERS - Avenue René Seyssaud,Avenue René Seyssaud 0 LA FARE-LES-OLIVIERS,13037,5.194176,43.551585,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*005,ISTRES - Place Champollion,Place Champollion 13800 ISTRES,13047,4.986984,43.504714,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*012,AIX-EN-PROVENCE - Place Du Souvenir Français,Place Du Souvenir Français 13090 AIX-EN-PROVENCE,13001,5.460704,43.526456,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13928*001,ENTRESSENS - Place Dei Blagiaires,Place Dei Blagiaires 13118 ENTRESSENS,13928,4.939013,43.593007,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13085*001,ROQUEFORT-LA-BEDOULE - Avenue Marius Ghirardelli,Avenue Marius Ghirardelli 13830 ROQUEFORT-LA-BEDOULE,13085,5.588032,43.248829,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13202*002,MARSEILLE-2E - 29 Boulevard De Dunkerque,29 Boulevard De Dunkerque 0 MARSEILLE-2E,13202,5.367851,43.308184,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13051*001,LANCON-PROVENCE - Rue Conseiller De Trets (Rue De Bir Hakeim),Rue Conseiller De Trets (Rue De Bir Hakeim) 13680 LANCON-PROVENCE,13051,5.123069,43.591788,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13031*001,LA DESTROUSSE - Avenue Du Mistral,Avenue Du Mistral 0 LA DESTROUSSE,13031,5.60471,43.376505,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13204*003,MARSEILLE-4E - Boulevard Jardin Zoologique,Boulevard Jardin Zoologique 13004 MARSEILLE-4E,13204,5.396799,43.303235,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13008*001,AURONS - Route De Pelissane,Route De Pelissane 13121 AURONS,13008,5.156308,43.663796,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*004,AIX-EN-PROVENCE - Place Albert Laforest,Place Albert Laforest 13080 AIX-EN-PROVENCE,13001,5.420083,43.522361,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*008,AIX-EN-PROVENCE - Cours Saint-Louis,Cours Saint-Louis 13090 AIX-EN-PROVENCE,13001,5.453065,43.529819,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*011,ISTRES - Cec Piscine,Cec Piscine 13800 ISTRES,13047,4.995847,43.499057,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13072*001,PEYNIER - Avenue De La Garenne,Avenue De La Garenne 0 PEYNIER,13072,5.639103,43.447876,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13112*001,VELAUX - Rue Diderot (Pl Du Bon Puit),Rue Diderot (Pl Du Bon Puit) 13880 VELAUX,13112,5.255214,43.523198,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13022*001,CASSIS - Parking Savon,Parking Savon 13260 CASSIS,13022,5.53811,43.213528,4.0,24h/24 7j/7,EF,MAMP,2021-09-04
FR*M13*P13208*004,MARSEILLE-8E - Avenue André Zénatti,Avenue André Zénatti 13008 MARSEILLE-8E,13208,5.381914,43.247392,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*004,AIX-EN-PROVENCE - Place Albert Laforest,Place Albert Laforest 13080 AIX-EN-PROVENCE,13001,5.420083,43.522361,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13215*005,MARSEILLE-15E - 456 Rue De Lyon,456 Rue De Lyon 0 MARSEILLE-15E,13215,5.360216,43.341629,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13022*001,CASSIS - Parking Savon,Parking Savon 13260 CASSIS,13022,5.53811,43.213528,4.0,24h/24 7j/7,EF,MAMP,2021-09-04
FR*M13*P13047*003,ISTRES - Victor Hugo,Victor Hugo 13800 ISTRES,13047,4.9899,43.51302,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*012,ISTRES - Cec Stade,Cec Stade 13800 ISTRES,13047,4.992965,43.50076,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13103*003,SALON-DE-PROVENCE - Avenue De Grans,Avenue De Grans 0 SALON-DE-PROVENCE,13103,5.090649,43.635131,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13103*004,SALON-DE-PROVENCE - 270 Rue Victor Grignard,270 Rue Victor Grignard 0 SALON-DE-PROVENCE,13103,5.056872,43.638515,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13055*004,MARSEILLE - Campus Luminy,Campus Luminy 13000 MARSEILLE,13055,5.438303,43.231932,4.0,24h/24 7j/7,EF,MAMP,2021-09-04
FR*M13*P13056*006,MARTIGUES - Quai Général Leclerc,Quai Général Leclerc 13500 MARTIGUES,13056,5.057812,43.40283,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13203*005,MARSEILLE-3E - 71 Avenue Roger Salengro,71 Avenue Roger Salengro 0 MARSEILLE-3E,13203,5.37159,43.312827,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13044*001,GRANS - Rue De L'Egalité - Parking Place Du Souvenir Français,Rue De L'Egalité - Parking Place Du Souvenir Français 13450 GRANS,13044,5.063095,43.605489,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13041*002,GARDANNE - Avenue D'Arménie (Semag),Avenue D'Arménie (Semag) 13120 GARDANNE,13041,5.44866,43.450954,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13055*004,MARSEILLE - Campus Luminy,Campus Luminy 13000 MARSEILLE,13055,5.438303,43.231932,4.0,24h/24 7j/7,EF,MAMP,2021-09-04
FR*M13*P13055*006,"MARSEILLE - Parking De La Mairie, Bd Bouyala D'Arnaud","Parking De La Mairie, Bd Bouyala D'Arnaud 13000 MARSEILLE",13055,5.443135,43.297307,4.0,24h/24 7j/7,EF,MAMP,2021-09-04
FR*M13*P13202*003,MARSEILLE-2E - 1 Rue Jean François Leca,1 Rue Jean François Leca 0 MARSEILLE-2E,13202,5.368833,43.301462,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*009,AIX-EN-PROVENCE - Avenue De Tübingen,Avenue De Tübingen 13090 AIX-EN-PROVENCE,13001,5.431899,43.524809,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*002,ISTRES - Parking Des Arnavaux,Parking Des Arnavaux 13800 ISTRES,13047,4.990593,43.513977,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13041*004,GARDANNE - Parking De La Cité Administrative,Parking De La Cité Administrative 0 GARDANNE,13041,5.47019,43.451656,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13212*002,MARSEILLE-12E - Avenue Des Caillols,Avenue Des Caillols 0 MARSEILLE-12E,13212,5.450343,43.303279,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13205*002,MARSEILLE-5E - Boulevard Baille,Boulevard Baille 13005 MARSEILLE-5E,13205,5.396151,43.289353,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*018,AIX-EN-PROVENCE - Avenue Jean Et Marcel Fontenaille,Avenue Jean Et Marcel Fontenaille 13100 AIX-EN-PROVENCE,13001,5.461132,43.534036,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13211*001,MARSEILLE-11E - 270 Route Des 3Lucs  La Valentine,270 Route Des 3Lucs La Valentine 0 MARSEILLE-11E,13211,5.481858,43.298393,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13207*004,MARSEILLE-7E - 85 Boulevard Charles Livon,85 Boulevard Charles Livon 0 MARSEILLE-7E,13207,5.358481,43.291969,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13214*003,MARSEILLE-14E - 9 Boulevard Gay Lussac,9 Boulevard Gay Lussac 0 MARSEILLE-14E,13214,5.374552,43.332198,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13208*003,MARSEILLE-8E - Place Théo Lombard,Place Théo Lombard 13008 MARSEILLE-8E,13208,5.383026,43.27085,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*002,AIX-EN-PROVENCE - Avenue François Argo - Parking Annexe Mairie,Avenue François Argo - Parking Annexe Mairie 13100 AIX-EN-PROVENCE,13001,5.354437,43.491323,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FRCPIE6499395,ARTEMIS / BORNE 3,12 Rue François 1er 75008 France,75056,2.308530497987346,48.866217519426364,22.0,24/7,T2S,Artemis,2021-01-14
FRCPIE6499395,ARTEMIS / BORNE 3,12 Rue François 1er 75008 France,75056,2.308530497987346,48.866217519426364,22.0,24/7,T2S,Artemis,2021-01-14
FR*SSD*PAVENTIMLAZARO359520*1,Aventim - Lazaro3,187 rue de Menin Parc de l?Innovation 59520 Marquette-Lez-Lille,59386,3.083205,50.679924,22.08,24/24 7/7 jours,"EF, T2",Aventim - Lazaro3,2021-03-03
FR*SSD*PAVENTIM59300*1,Aventim Aulnoy,30 Chemin des Bourgeois 59300 Aulnoy-Lez-Valenciennes,59032,3.510402,50.332877,22.08,24/24 7/7 jours,"EF, T2",Aventim Aulnoy,2021-03-03
FR*SSD*PAVENTIM59830*1,Aventim Bouvines - Lot 1,1424 rue Félix Dehau 59830 Bouvines,59106,3.199466,50.574045,22.08,24/24 7/7 jours,"EF, T2",Aventim Bouvines - Lot 1,2021-03-03
FR*SOD*P*GADP*6*_*_*_,PCD,"Parking PCD, Aéroport de Roissy-CDG",93073,2.566858,49.003828,3.7,24h/24,T2 - E/F,Paris Aéroports,2018-11-07
FR*SOD*P*GADP*1*_*_*_,P1,"Parking P1, Aéroport de Roissy-CDG",77282,2.541442,49.01387,3.7,24h/24,T2 - E/F,Paris Aéroports,2017-12-20
