n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,xlongitude,ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj,source,geo_point_borne,code_insee_commune,region,departement
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13059*001,MEYRARGUES - Police Municipale - Place Des Anciens Combattants,Police Municipale - Place Des Anciens Combattants 13650 MEYRARGUES,13059,5.527233,43.637349,2,FR*M13*E13059*001*1,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.637349,5.527233",13059,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13005*004,"AUBAGNE - 1465 Route Nationnale 8, Le Charrel","1465 Route Nationnale 8, Le Charrel 0 AUBAGNE",13005,5.545049,43.284336,2,FR*M13*E13005*004*2,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.284336,5.545049",13005,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13208*001,MARSEILLE-8E - Boulevard Edouard Herriot,Boulevard Edouard Herriot 13008 MARSEILLE-8E,13208,5.390105,43.272778,2,FR*M13*E13208*001*2,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.272778,5.390105",13055,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13103*001,SALON-DE-PROVENCE - Rue André Marie Ampère,Rue André Marie Ampère 0 SALON-DE-PROVENCE,13103,5.107927,43.639222,2,FR*M13*E13103*001*2,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.639222,5.107927",13103,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13075*001,PLAN-DE-CUQUES - Rue Du 14 Juillet - Parking Piscine,Rue Du 14 Juillet - Parking Piscine 13380 PLAN-DE-CUQUES,13075,5.46472,43.347677,2,FR*M13*E13075*001*2,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.347677,5.46472",13075,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13001*001,AIX-EN-PROVENCE - Rue Neil Armstrong,Rue Neil Armstrong 0 AIX-EN-PROVENCE,13001,5.347074,43.485668,2,FR*M13*E13001*001*1,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.485668,5.347074",13001,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13203*002,MARSEILLE-3E - 28 Rue Jobin,28 Rue Jobin 0 MARSEILLE-3E,13203,5.389845,43.309831,2,FR*M13*E13203*002*1,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.309831,5.389845",13055,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13022*002,CASSIS - Parking Daudet,Parking Daudet 13260 CASSIS,13022,5.536259,43.218608,2,FR*M13*E13022*002*1,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.218608,5.536259",13022,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13112*001,VELAUX - Rue Diderot (Pl Du Bon Puit),Rue Diderot (Pl Du Bon Puit) 13880 VELAUX,13112,5.255214,43.523198,2,FR*M13*E13112*001*1,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.523198,5.255214",13112,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13208*003,MARSEILLE-8E - Place Théo Lombard,Place Théo Lombard 13008 MARSEILLE-8E,13208,5.383026,43.27085,2,FR*M13*E13208*003*2,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.27085,5.383026",13055,,Bouches-du-Rhône
